ime;lokacija;stanje;proizvodjac;model;godiste;kilometraza;vrata;gorivo;kubikaza;kilovata;konjskih_snaga;emisioni_standard;registrovan;udaren;broj_pregleda;datum;datum_objave;radnja;cijena
Peugeot 508 GT Line;Banja Luka;Korišteno;Peugeot;508;2019;58000;4;Benzin;1.6;133;180;Euro 6;1;;19738;2022-07-17;2020-11-14;0;58500
Toyota RAV 4 4X4;Pale;Korišteno;Toyota;RAV 4;2006;190000;4;Dizel;2.2;100;140;;1;;12099;2022-04-23;2020-11-14;0;15500
Passat 7 2.0 dsg blumotion highline;Prnjavor;Korišteno;Volkswagen;Passat;2011;245000;4;Dizel;2.0;103;140;;1;;8176;2022-04-24;2020-11-14;0;18300
Peugeot 508 2.0 HDI 4x4 Hibrid4 2012 godina;Laktaši;Korišteno;Peugeot;508;2012;200000;4;Dizel;2.0;120;163;Euro 5;1;;4801;2022-04-27;2020-11-14;0;20900
Volkswagen Sharan;Prnjavor;Korišteno;Volkswagen;Sharan;2013;125000;4;Dizel;2.0;130;176;Euro 5;;;7200;2022-07-06;2020-11-15;0;40000
Nissan Murano i minni coper s za jedno vozilo;Stari Grad;Korišteno;Nissan;Murano;2003;190000;4;Benzin;3.5;172;235;Euro 3;1;;3504;2022-05-23;2020-11-15;0;7000
Renult kangoo;Široki Brijeg;Korišteno;Renault;Kangoo;2007;290000;4;Dizel;1.5;70;;;1;;5977;2022-05-08;2020-11-15;0;8775
Audi A8 quattro 2004/05 4.0 Tdi S-line 4x4;Bijeljina;Korišteno;Audi;A8;2004;180000;4;Dizel;4.0;202;275400;Euro 4;1;;21756;2022-06-07;2020-11-15;0;13000
Mercedes e220 w212 Cdi 2010/11 avangarde;Bijeljina;Korišteno;Mercedes-Benz;CE 220;2010;300000;4;Dizel;2.2;100;130;Euro 5;1;;4284;2022-06-07;2020-11-15;0;17000
Nissan Micra-AUTOMATSKI MJENJAC;Sarajevo - Centar;Korišteno;Nissan;Micra;2005;96000;2;Benzin;1.4;60;;Euro 4;;;9423;2022-05-03;2020-11-15;0;6500
BMW X5 xDrive 30D 4x4 Tiptronik Exslusive SPORTLINE 315;Sarajevo, Novi Grad;Korišteno;BMW;X5;2014;180000;4;Dizel;3.0;190;256;Euro 6;1;;15886;2022-04-17;2020-11-16;0;68000
BMW E60 520D MANUELNI 120KW ORGINALNA KILOMETRAZA;Doboj;Korišteno;BMW;520;2006;300303;4;Dizel;2.0;120;;;1;;6896;2022-04-16;2020-11-16;0;12800
